[0.43799345 3.97319295]
[0.84206448 3.48137489]
[1.85819398 2.62839026]
[2.71891145 1.76097588]
[3.45204892 0.97619011]
[4.17473624 0.44661706]
[4.78521596 0.03904337]
[5.37328603 0.37770396]
[5.87526551 0.84211087]
[6.32948804 1.25196371]
[6.86695043 1.65232729]
[7.35019454 2.0122857 ]
[12.86546791  5.15197714]
[12.86546957  5.15197824]
[12.86547127  5.15197914]
[12.86547299  5.15198   ]
[12.86547458  5.1519806 ]
[12.86547557  5.15198118]
[12.86547638  5.15198166]
[12.86547711  5.15198218]
[12.8654778   5.15198261]
[12.86547843  5.15198304]
[12.8654789   5.15198326]
[12.8654794   5.15198345]
[12.86547953  5.15198362]
[12.86547983  5.15198368]
[12.86548005  5.15198369]
[12.86548034  5.1519837 ]
[12.86548056  5.15198376]
[12.86548073  5.15198388]
[12.8654809   5.15198399]
[12.86548106  5.15198411]
[12.8654812  5.1519842]
[12.86548126  5.15198418]
[12.86548132  5.15198416]
[12.86548139  5.15198417]
[12.86548146  5.15198418]
[12.86548152  5.15198413]
[12.86548158  5.15198409]
[12.86548163  5.15198404]
[12.86548165  5.15198402]
[12.86548165  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
[12.86548166  5.15198401]
