[1.08936599 2.50301615]
[1.08934827 2.50301393]
[1.08933229 2.50301196]
[1.08931792 2.50301025]
[1.08930492 2.50300867]
[1.08929323 2.50300728]
[1.08928269 2.503006  ]
[1.08927324 2.50300487]
[1.08926467 2.50300381]
[1.08925691 2.50300284]
[1.08924995 2.50300204]
[1.08924371 2.50300136]
[1.08923811 2.50300072]
[1.08923304 2.50300014]
[1.08922849 2.50299955]
[1.08922443 2.50299905]
[1.08922072 2.50299862]
[1.08921742 2.50299825]
[1.08921444 2.50299795]
[1.08921173 2.50299768]
[1.08920929 2.5029974 ]
[1.08920715 2.50299723]
[1.08920523 2.50299704]
[1.08914638 2.50296575]
[1.08909335 2.50293757]
[1.0890456  2.50291215]
[1.08900269 2.50288929]
[1.08896409 2.50286877]
[1.08892939 2.50285025]
[1.08889807 2.5028336 ]
[1.08886987 2.5028186 ]
[1.08884448 2.50280506]
[1.08882167 2.50279295]
[1.08880115 2.50278204]
[1.0887826  2.50277228]
[1.08876598 2.50276343]
[1.08875097 2.50275554]
[1.08873741 2.50274835]
[1.0887252  2.50274185]
[1.08871421 2.50273603]
[1.08870428 2.50273072]
[1.08869537 2.50272608]
[1.0886873  2.50272191]
[1.08868003 2.50271809]
[1.08867351 2.50271472]
[1.08866759 2.50271163]
[1.08866235 2.50270882]
[1.08865755 2.50270637]
[1.08865319 2.50270405]
[1.0886493  2.50270205]
[1.0886458  2.50270022]
[1.08864267 2.50269859]
[1.08863978 2.50269719]
[1.08863723 2.50269587]
[1.08863499 2.50269468]
[1.08863297 2.50269364]
[1.08863113 2.50269269]
[1.08862951 2.50269183]
[1.08862805 2.50269107]
[1.08862672 2.50269038]
[1.08862549 2.50268972]
[1.08862433 2.50268914]
[1.08862335 2.50268867]
[1.08862245 2.50268823]
[1.08862166 2.50268786]
[1.08862096 2.50268743]
[1.08862031 2.50268714]
[1.08861982 2.50268688]
[1.08865828 2.50271146]
[1.08869286 2.50273354]
[1.088724   2.50275343]
[1.08875212 2.50277132]
[1.08877735 2.50278749]
[1.08879996 2.50280206]
[1.08882038 2.50281511]
[1.08883877 2.50282692]
[1.0888553  2.50283749]
[1.08887014 2.50284704]
[1.0888835  2.50285563]
[1.0888955  2.50286333]
[1.08890622 2.50287037]
[1.08891588 2.50287662]
[1.08892457 2.5028823 ]
[1.0889324  2.50288736]
[1.08893945 2.50289189]
[1.08894575 2.50289602]
[1.0889514  2.50289974]
[1.0889565  2.50290313]
[1.08896111 2.50290619]
[1.08896519 2.50290896]
[1.08896888 2.50291146]
[1.08897221 2.50291365]
[1.08897519 2.5029156 ]
[1.0889778 2.5029174]
[1.08898014 2.50291902]
[1.08898228 2.50292058]
[1.08898422 2.50292189]
[1.08898602 2.50292308]
[1.08898754 2.50292411]
[1.08898899 2.50292504]
[1.08899025 2.50292591]
[1.08899139 2.50292669]
[1.0889924  2.50292738]
[1.08899333 2.50292797]
[1.08899414 2.50292854]
[1.08899486 2.50292908]
[1.08899547 2.50292962]
[1.08899607 2.50293005]
[1.08899662 2.50293042]
[1.0889971  2.50293076]
[1.08899754 2.50293104]
[1.08899792 2.50293128]
[1.08899832 2.50293154]
[1.08903761 2.50295662]
[1.08907305 2.50297918]
[1.08910488 2.50299941]
[1.08913349 2.5030177 ]
[1.08915931 2.50303417]
[1.0891825  2.50304903]
[1.08920345 2.50306231]
[1.08922223 2.50307432]
[1.08923905 2.50308516]
[1.08925423 2.50309496]
[1.08926791 2.50310369]
[1.08928014 2.50311159]
[1.08929115 2.50311878]
[1.08930108 2.50312519]
[1.08930996 2.50313093]
[1.08931796 2.5031361 ]
[1.08932522 2.50314072]
[1.08933169 2.50314491]
[1.0893375  2.50314868]
[1.0893427  2.50315212]
[1.08934743 2.5031552 ]
[1.08935169 2.503158  ]
[1.08935541 2.50316053]
[1.08935886 2.50316277]
[1.08936192 2.50316478]
[1.08936462 2.50316665]
[1.08936704 2.50316826]
[1.08936926 2.5031698 ]
[1.08937129 2.50317117]
[1.08937314 2.50317235]
[1.08937469 2.50317342]
[1.08937611 2.50317439]
[1.0893774  2.50317526]
[1.08937853 2.50317603]
[1.08937956 2.50317672]
[1.0893805  2.50317731]
[1.08938132 2.50317789]
[1.08938205 2.50317842]
[1.08938263 2.50317896]
[1.0893832  2.50317939]
[1.08938375 2.50317977]
[1.08938422 2.50318011]
[1.08938467 2.50318039]
[1.08938506 2.50318064]
[1.08938546 2.50318091]
[1.08942474 2.50320599]
[1.08946017 2.50322853]
[1.089492   2.50324876]
[1.08952064 2.50326706]
[1.08954646 2.50328353]
[1.08956965 2.5032984 ]
[1.08959062 2.5033117 ]
[1.08960941 2.50332371]
[1.08962622 2.50333454]
[1.08964143 2.50334435]
[1.08965512 2.50335308]
[1.0896674  2.50336098]
[1.08967839 2.50336816]
[1.08968832 2.50337458]
[1.0896972  2.50338031]
[1.0897052  2.50338549]
[1.08971245 2.5033901 ]
[1.08971887 2.50339431]
[1.08972472 2.5033981 ]
[1.08972997 2.5034015 ]
[1.08973467 2.50340455]
[1.08973884 2.50340737]
[1.08974258 2.50340993]
[1.08974602 2.50341217]
[1.08974911 2.5034142 ]
[1.08975186 2.50341603]
[1.08975431 2.5034177 ]
[1.08975648 2.50341928]
[1.08975849 2.50342065]
[1.08976032 2.50342181]
[1.08976187 2.50342287]
[1.08976325 2.50342386]
[1.08976451 2.50342473]
[1.08976561 2.50342549]
[1.08976663 2.50342614]
[1.08971275 2.50341992]
[1.08966434 2.50341434]
[1.08962072 2.50340933]
[1.08958143 2.50340481]
[1.08954609 2.50340076]
[1.08951429 2.50339719]
[1.08948563 2.50339395]
[1.08945977 2.50339098]
[1.08943656 2.50338829]
[1.08941565 2.50338597]
[1.08939682 2.50338387]
[1.08937988 2.50338193]
[1.08936461 2.50338018]
[1.08935082 2.50337866]
[1.08933844 2.5033772 ]
[1.08932725 2.50337595]
[1.08931714 2.50337487]
[1.08930807 2.50337388]
[1.08929988 2.503373  ]
[1.08929248 2.50337223]
[1.08928583 2.50337152]
[1.08927984 2.50337091]
[1.08927448 2.50337038]
[1.08926963 2.50336986]
[1.0892652  2.50336934]
[1.08926126 2.50336897]
[1.08925769 2.50336862]
[1.08925452 2.50336836]
[1.08925165 2.50336812]
[1.08924909 2.50336784]
[1.08924671 2.50336761]
[1.0892446  2.50336738]
[1.08924277 2.50336723]
[1.08924113 2.50336707]
[1.08923964 2.50336695]
[1.0892383  2.50336685]
[1.08923709 2.50336673]
