[0.43344494 0.35799695]
[0.43344503 0.35799693]
[0.43344519 0.35799694]
[0.43344521 0.35799693]
[0.43344509 0.357997  ]
[0.43344479 0.35799714]
[0.43344447 0.35799726]
[0.4334441  0.35799737]
[0.43344391 0.35799757]
[0.43344389 0.35799759]
[0.43344394 0.35799744]
[0.43344399 0.35799724]
[0.43344402 0.35799702]
[0.4334441  0.35799678]
[0.43344423 0.35799656]
[0.43344436 0.35799627]
[0.43344455 0.3579959 ]
[0.43344493 0.35799554]
[0.43344551 0.35799513]
[0.43344617 0.35799473]
[0.43344681 0.35799434]
[0.43344728 0.35799413]
[0.43344771 0.35799395]
[0.433448   0.35799371]
[0.43344833 0.35799354]
[0.4334486  0.35799359]
[0.43344882 0.35799369]
[0.43344906 0.3579938 ]
[0.43344933 0.35799388]
[0.43344944 0.35799395]
[0.43344964 0.35799385]
[0.43344979 0.35799377]
[0.43345024 0.35799382]
[0.43345068 0.35799389]
[0.43345122 0.35799413]
[0.43344078 0.35800595]
[0.4334316  0.35801662]
[0.43342325 0.35802621]
[0.43341589 0.35803488]
[0.43340908 0.35804269]
[0.43340279 0.35804979]
[0.43339706 0.35805617]
[0.43339176 0.35806195]
[0.43338695 0.35806714]
[0.4333827  0.35807192]
[0.43337902 0.35807606]
[0.43337576 0.35807961]
[0.4333729  0.35808275]
[0.43337039 0.35808563]
[0.4333681  0.35808809]
[0.43336604 0.35809031]
[0.43336421 0.35809227]
[0.43336273 0.35809385]
[0.43336154 0.35809531]
[0.43336081 0.35809655]
[0.43336017 0.35809748]
[0.43335963 0.35809836]
[0.43335915 0.35809926]
[0.4333587  0.35810008]
[0.43335825 0.35810079]
[0.43335782 0.35810153]
[0.43335738 0.35810233]
[0.43335707 0.35810299]
[0.43335682 0.35810374]
[0.43335658 0.35810437]
[0.43335631 0.35810493]
[0.43335608 0.35810533]
[0.43335591 0.35810565]
[0.43335608 0.35810611]
[0.4333563  0.35810655]
[0.43335657 0.358107  ]
[0.43334591 0.35811901]
[0.43333652 0.35812985]
[0.43332807 0.35813959]
[0.43332046 0.35814848]
[0.43331343 0.35815645]
[0.433307  0.3581637]
[0.4333011  0.35817026]
[0.43329568 0.3581761 ]
[0.43329075 0.35818145]
[0.43328635 0.35818625]
[0.43328259 0.35819048]
[0.43327929 0.35819413]
[0.43327634 0.35819734]
[0.43327373 0.35820031]
[0.43327135 0.35820282]
[0.4332693  0.35820511]
[0.43326745 0.35820706]
[0.43326596 0.35820865]
[0.43326471 0.35821006]
[0.43326392 0.35821134]
[0.4332633 0.3582124]
[0.4332628  0.35821332]
[0.4332623  0.35821428]
[0.43326182 0.35821518]
[0.4332614  0.35821586]
[0.43326097 0.35821665]
[0.4332605  0.35821746]
[0.43326017 0.35821816]
[0.43325986 0.35821888]
[0.43325965 0.3582195 ]
[0.43325937 0.35822006]
[0.43325907 0.35822047]
[0.43325891 0.35822072]
[0.43325906 0.35822119]
[0.43325931 0.35822163]
[0.43325959 0.35822211]
[0.43324887 0.35823408]
[0.43323942 0.35824491]
[0.43323085 0.35825467]
[0.43322321 0.35826347]
[0.43321616 0.35827141]
[0.4332097  0.35827868]
[0.43320379 0.35828529]
[0.43319836 0.35829112]
[0.43319337 0.35829648]
[0.43318894 0.35830123]
[0.43318517 0.35830545]
[0.43318185 0.35830906]
[0.43317889 0.35831226]
[0.43317627 0.35831523]
[0.43317389 0.35831773]
[0.43317183 0.35832001]
[0.43316998 0.35832198]
[0.43316846 0.35832354]
[0.43316721 0.35832493]
[0.43316642 0.35832621]
[0.4331658  0.35832726]
[0.43316529 0.35832818]
[0.43316478 0.35832914]
[0.43316431 0.35833002]
[0.43316387 0.35833071]
[0.43316344 0.35833149]
[0.43316297 0.3583323 ]
[0.4331626  0.35833297]
[0.43316228 0.35833369]
[0.43316207 0.35833431]
[0.4331618  0.35833489]
[0.4331615 0.3583353]
[0.43316136 0.35833552]
[0.43316152 0.358336  ]
[0.43316178 0.35833644]
[0.43316206 0.35833692]
[0.43315134 0.3583489 ]
[0.43314186 0.3583597 ]
[0.43313323 0.35836943]
[0.43312553 0.35837819]
[0.43311846 0.35838614]
[0.43311198 0.35839338]
[0.43310605 0.35839992]
[0.43310059 0.35840575]
[0.4330956 0.3584111]
[0.43309114 0.35841587]
[0.43308738 0.35842007]
[0.43308404 0.3584237 ]
[0.43308106 0.35842687]
[0.43307844 0.35842984]
[0.43307605 0.35843234]
[0.43307398 0.35843462]
[0.43307213 0.35843658]
[0.4330706  0.35843813]
[0.43306934 0.35843953]
[0.43306854 0.3584408 ]
[0.4330679  0.35844185]
[0.43306739 0.35844275]
[0.43306686 0.3584437 ]
[0.43306639 0.35844458]
[0.43306593 0.35844525]
[0.4330655  0.35844604]
[0.43306503 0.35844684]
[0.43306466 0.35844753]
[0.43306433 0.35844825]
[0.43306413 0.35844886]
[0.43306386 0.35844945]
[0.43306356 0.35844986]
[0.43306342 0.35845008]
[0.43306358 0.35845056]
[0.43306384 0.358451  ]
[0.43306412 0.35845148]
[0.43305333 0.35846348]
